BUKU,BAB,PASAL,ISI_PASAL,SUB_KLASIFIKASI
,BAB III,Pasal 44,"(1) Barang siapa melakukan perbuatan yang tidak dapat dipertanggungkan kepadanya karena jiwanya cacat dalam pertumbuhan atau terganggu karena penyakit, tidak dipidana. (2) Jika ternyata perbuatan itu tidak dapat dipertanggungkan kepada pelakunya karena pertumbuhan jiwanya cacat atau terganggu karena penyakit, maka hakim dapat memerintahkan supaya orang itu dimasukkan ke rumah sakit jiwa, paling lama satu tahun sebagai waktu percobaan. (3) Ketentuan dalam ayat 2 hanya berlak u bagi Mahkamah Agung, Pengadilan Tinggi, dan Pengadilan Negeri.",pelanggaran properti
,BAB III,Pasal 45,"Dalam hal penuntutan pidana terhadap orang yang belum dewasa karena melakukan suatu perbuatan sebelum umur enam belas tahun, hakim dapat menentukan: memerintahkan supaya yang bersalah dikembalikan kepada orang tuanya, walinya atau pemeliharanya, tanpa pidana apa pun; atau memerintahkan supaya yang bersalah diserahkan kepada pemerintah tanpa pidana apa pun, jika perbuatan merupakan kejahatan atau salah satu pelanggaran berdasar- kan pasal-pasal 489, 490, 492, 496, 497, 503 - 505, 514, 517 - 519, 526, 531, 532, 536, dan 540 serta belum lewat dua tahun sejak dinyatakan bersalah karena melakukan kejahatan atau salah satu pelanggaran tersebut di atas, dan putusannya telah menjadi tetap; atau menjatuhkan pidana kepada yang bersalah.",tidak-diketahui
,BAB III,Pasal 46,"(1) Jika hakim memerintahkan supaya yang bersalah diserahkan kepada pemerintah, maka ia dimasukkan dalam rumah pendidikan negara supaya menerima pendidikan dari pemerintah atau di kemudian hari dengan cara lain, atau diserahkan kepada seorang tertentu yang bertempat tinggal di Indonesia atau kepada sesuatu badan hukum, yayasan atau lembaga amal yang berkedudukan di Indonesia untuk menyelenggarakan pendidikannya, atau di kemudian hari, atas tanggungan pemerint ah, dengan cara lain; dalam kedua hal di atas, paling lama sampai orang yang bersalah itu mencapai umur delapan belas tahun. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  (2) Aturan untuk melaksanakan ayat 1 pasal ini ditetapkan dengan undang- undang.",pelanggaran properti
,BAB III,Pasal 47,"(1)  Jika hakim menjatuhkan pidana, maka maksimum pidana pokok terhadap tindak pidananya dikurangi sepertiga. (2)  Jika perbuatan itu merupakan kejahatan yang diancam dengan pidana mati atau pidana penjara seumur hidup, maka dijatuhkan pidana penjara paling lama lima belas tahun. (3)  Pidana tambahan dalam pasal 10 buti r b, nomor 1 dan 3, tidak dapat diterapkan.",tidak-diketahui
,BAB III,Pasal 48,"Barang siapa melakukan perbuatan karena pengaruh daya paksa ( overmacht ), tidak dipidana.",tidak-diketahui
,BAB III,Pasal 49,"(1)  Tidak dipidana, barang siapa melakukan perbuatan pembelaan terpaksa untuk diri sendiri maupun untuk orang lain, kehormatan kesusilaan atau harta benda sendiri maupun orang lain, karena ada serangan atau ancaman serangan yang sangat dekat pada saat itu yang melawan hukum. (2)  Pembelaan terpaksa yang melampaui batas, yang langsung disebabkan oleh keguncangan jiwa yang hebat karena serangan atau ancaman serangan itu, tidak dipidana.",kejahatan terhadap kesusilaan
,BAB III,Pasal 50,"Barang siapa melakukan perbuatan un tuk melaksanakan ketentuan undang- undang, tidak dipidana.",pelanggaran perlindungan anak
,BAB III,Pasal 51,"(1)  Barang siapa melakukan perbuatan un tuk melaksanakan perintah jabatan yang diberikan oleh penguasa yang berwenang, tidak dipidana. (2)  Perintah jabatan tanpa wewenang, tidak menyebabkan hapusnya pidana, kecuali jika yang diperintah, dengan itikad baik mengira bahwa perintah diberikan dengan wewenang dan pelaksanaannya termasuk dalam lingkungan pekerjaannya.",perusakan lingkungan
,BAB III,Pasal 52,"Bilamana seorang pejabat karena melakukan perbuatan pidana melanggar suatu kewajiban khusus dari jabatannya , atau pada waktu melakukan perbuatan pidana memakai kekuasaan, kesempatan atau sarana yang diberikan kepadanya karena jabatannya, pidananya dapat ditambah sepertiga.",tidak-diketahui
,BAB IV,Pasal 52a,"Bilamana pada waktu melakukan kejahatan digunakan bendera kebangsaan Republik Indonesia, pidana untuk keja hatan tersebut ditambah sepertiga. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3          PERCOBAAN",tidak-diketahui
,BAB IV,Pasal 53,"(1)  Mencoba melakukan kejahatan dipidana, jika niat untuk itu telah ternyata dari adanya permulaan pelaksanaan, dan tidak selesainya pelaksanaan itu, bukan semata-mata disebabkan karena kehendaknya sendiri. (2)  Maksimum pidana pokok terhadap kejahatan, dalam hal percobaan dikurangi sepertiga.",tidak-diketahui
,BAB V,Pasal 54,Mencoba melakukan pelanggaran tidak dipidana.   PENYERTAAN DALAM TINDAK PIDANA,tidak-diketahui
,BAB V,Pasal 55,"(1) Dipidana sebagai pelaku tindak pidana: 1. mereka yang melakukan, yang menyuruh melakukan, dan yang turut serta melakukan perbuatan; 2. mereka yang dengan memberi atau menjanjikan sesuatu dengan menyalahgunakan kekuasaan atau mart abat, dengan kekerasan, ancaman atau penyesatan, atau dengan me mberi kesempatan, sarana atau keterangan, sengaja menganjurkan orang lain supaya melakukan perbuatan. (2) Terhadap penganjur, hanya perbuatan yang sengaja dianjurkan sajalah yang diperhitungkan, beserta akibat-akibatnya.",kekerasan
,BAB V,Pasal 56,"Dipidana sebagai pembantu kejahatan: 1. mereka yang sengaja memberi bant uan pada waktu kejahatan dilakukan; 2. mereka yang sengaja memberi kesemp atan, sarana atau ke- terangan untuk melakukan kejahatan.",tidak-diketahui
,BAB V,Pasal 57,"(1) Dalam hal pembantuan, maksimum pidana pokok terhadap kejahatan, dikurangi sepertiga. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  (2) Jika kejahatan diancam dengan pidana mati atau pidana penjara seumur hidup, dijatuhkan pidana penjara paling lama lima belas tahun. (3) Pidana tambahan bagi pembantuan sama dengan kejahatannya sendiri. (4) Dalam menentukan pidana bagi pe mbantu, yang diperhitungkan hanya perbuatan yang sengaja dipermudah atau diperlancar olehnya, beserta akibat-akibatnya.",tidak-diketahui
,BAB V,Pasal 58,"Dalam menggunakan aturan-aturan pidana, keadaan-keadaan pribadi seseorang, yang menghapuskan, mengurangi atau memberatkan pengenaan pidana, hanya diperhitungkan terhadap pembuat atau pembantu yang bersangkutan itu sendiri.",tidak-diketahui
,BAB V,Pasal 59,"Dalam hal-hal di mana karena pelanggaran ditentukan pidana terhadap pengurus, anggota-anggota badan pengur us atau komisaris-komisaris, maka pengurus, anggota badan pengurus atau komisaris yang ternyata tidak ikut campur melakukan pelanggaran tidak dipidana.",tidak-diketahui
,BAB V,Pasal 60,Membantu melakukan pelangaran tidak dipidana.,tidak-diketahui
,BAB V,Pasal 61,"(1) Mengenai kejahatan yang dilakukan dengan percetakan, penertiban selaku demikian tidak dituntut apabila dalam barang cetakkan disebut nama dan tempat tinggalnya, sedangkan pembuatnya dikenal, atau setelah dimulai penuntutan, pada waktu ditegur pertama kali lalu diberitahukan kepada penerbit. (2) Aturan ini tidak berlaku jika pelaku pada saat barang cetakkan terbit, tidak dapat dituntut atau sudah menetap di luar Indonesia.",tidak-diketahui
,BAB VI,Pasal 62,"(1) Mengenai kejahatan yang dilakukan dengan percetakan, pencetaknya selaku demikian tidak dituntut apabila dalam barang cetakkan disebut nama dan tempat tinggalnya, sedangkan orang ya ng menyuruh mencetak dikenal, atau setelah dimulai penuntutan, pada waktu ditegur pertama kali lalu diberitahukan oleh pencetak. (2) Aturan ini tidak berlaku, jika or ang yang menyuruh mencetak pada saat barang cetakkan terbit, tidak dapat dituntut sudah menetap di luar Indonesia.   PERBARENGAN TINDAK PIDANA  Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3",tidak-diketahui
,BAB VI,Pasal 63,"(1) Jika suatu perbuatan masuk dalam lebih dari satu aturan pidana, maka yang dikenakan hanya salah satu di antara aturan-aturan itu; jika berbeda-beda, yang dikenakan yang memuat ancaman pidana pokok yang paling berat. (2) Jika suatu perbuatan masuk dalam suatu aturan pidana yang umum, diatur pula dalam aturan pidana yang khusus, maka hanya yang khusus itulah yang diterapkan.",tidak-diketahui
,BAB VI,Pasal 64,"(1) Jika antara beberapa perbuatan, meskipun masing-masing merupakan kejahatan atau pelanggaran, ada hub ungannya sedemikian rupa sehingga harus dipandang sebagai satu perbuatan berlanjut, maka hanya diterapkan satu aturan pidana; jika berbeda-beda, yang diterapkan yang memuat ancaman pidana pokok yang paling berat. (2) Demikian pula hanya dikenakan satu aturan pidana, jika orang dinyatakan bersalah melakukan pemalsuan atau perusakan mata uang, dan menggunakan barang yang dipalsu atau yang dirusak itu. (3) Akan tetapi, jika orang yang melakukan kejahatan-kejahatan tersebut dalam pasal-pasal 364, 373, 379, da n 407 ayat 1, sebagai perbuatan berlanjut dan nilai kerugian yang ditimbulkan jumlahnya melebihi dari tiga ratus tujuh puluh lima rupiah, maka ia dikenakan aturan pidana tersebut dalam pasal 362, 372, 378, dan 406.",pemalsuan
,BAB VI,Pasal 65,"(1) Dalam hal perbarengan beberapa perbuatan yang harus dipandang sebagai perbuatan yang berdiri sendiri sehingga merupakan beberapa kejahatan, yang diancam dengan pidana pokok yang sejenis, maka dijatuhkan hanya satu pidana. (2) Maksimum pidana yang dijatuhkan ialah jumlah maksimum pidana yang diancam terhadap perbuatan itu, tetapi boleh lebih dari maksimum pidana yang trerberat ditambah sepertiga.",tidak-diketahui
,BAB VI,Pasal 66,"(1) Dalam hal perbarengan beberapa perbuatan yang masing-masing harus dipandang sebagai perbuatan yang berdiri sendiri sehingga merupakan beberapa kejahatan, yang diancam dengan pidana pokok yang tidak sejenis , maka dijatuhkan pidana atas tiap-t iap kejahatan, tetapi jumlahnya tidak boleh melebihi maksimum pidana yang terberat ditambah sepertiga. (2) Pidana denda adalah hal itu dihitung menurut lamanya maksimum pidana kurungan pengganti yang ditent ukan untuk perbuatan itu.",tidak-diketahui
,BAB VI,Pasal 67,"Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  Jika orang dijatuhi pidana mati atau pi dana penjara seumur hidup, di samping itu tidak boleh dijatuhkan pidana lain lagi kecuali pencabutan hak-hak tertentu, dan pengumuman putusan hakim.",tidak-diketahui
,BAB VI,Pasal 68,"(1) Berdasarkan hal-hal dalam pasal 65 dan 66, tentang pidana tambahan berlaku aturan sebagai berikut: 1. pidana-pidana pencabutan hak yang sama dijadikan satu, yang lamanya paling sedikit dua tahun dan paling banyak lima tahun melebihi pidana pokok atau pidana-pidana pokok yang dijatuhkan. Jika pidana pokok hanya pidana denda saja, maka lamanya pencabutan hak paling sedikit dua tahun dan paling lama lima tahun; 2. pidana-pidana pencabutan hak yang berlainan dijatuhkan sendiri-sendiri tanpa dikurangi; 3. pidana-pidana perampasan barang-b arang tertentu, begitu pula halnya dengan pidana kurungan pengganti karena barang-barang tidak diserahkan, dijatuhkan sendiri-sendiri tanpa dikurangi. (2) pidana kurungan-kurungan pengga nti jumlahnya tidak boleh melebihi delapan bulan.",tidak-diketahui
,BAB VI,Pasal 69,"(1) Perbandingan beratnya pidana pokok yang tidak sejenis ditentukan menurut urut-urutan dalam pasal 10. (2) Jika hakim memilih antara beberapa pidana pokok, maka dalam perbandingan hanya terberatlah yang dipakai. (3) Perbandingan beratnya pidana-pidana pokok yang sejenis ditentukan menurut maksimumnya masing-masing. (4) Perbandingan lamanya pidana-pidana pokok yang sejenis ditentukan menurut maksimumnya masing-masing.",tidak-diketahui
,BAB VI,Pasal 70,"(1) Jika ada perbarengan seperti yang di maksudkan dalam pasa l 65 dan 66, baik perbarengan pelanggaran dengan kejahatan, maupun pelanggaran dengan pelanggaran, maka untuk tiap-tiap pe langgaran dijatuhkan pidana sendiri- sendiri tanpa dikurangi. (2) Mengenai pelanggaran, jumlah la manya pidana kurungan dan pidana kurungan pengganti paling banyak satu tahun empat bulan, sedangkan jumlah lamanya pidana kurungan pengganti, paling banyak delapan bulan.",tidak-diketahui
,BAB VI,Pasal 70 bis,"Ketika menerapkan pasal-pasal 65, 66, dan 70, kejahatan-kejahatan berdasarkan pasal-pasal 302 ayat 1, 352, 364, 373,379, dan 482 dianggap sebagai pelanggaran, dengan pengertian jika dijatuhkan pidana-pidana penjara atas kejahatan-kejahatan itu, juml ah paling banyak delapan bulan.  Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3",tidak-diketahui
,BAB VI,Pasal 71,"Jika seseorang telah dijatuhi pidana, kemudian dinyatakan bersalah lagi karena melakukan kejahatan atau pelanggaran lain sebelum ada putusan pidana itu, maka pidana yang dahulu diperhitungkan pada pidana yang akan dijatuhkan dengan menggunakan aturan-aturan dalam bab ini mengenai hal perkara- perkara diadili pada saat yang sama.",tidak-diketahui
,BAB VI,Pasal 72,"(1) Selama orang yang terkena kejaha tan yang hanya boleh dituntut atas pengaduan, dan orang itu umurnya belum cukup enam belas tahun dan lagi belum dewasa, atau selama ia berada di bawah pengampuan yang disebabkan oleh ha1 lain daripada keborosan, maka wakilnya yang sah dalam perkara perdata yang berhak mengadu; (2) Jika tidak ada wakil, atau wakil itu sendiri yang harus diadukan, maka penuntutan dilakukan atas pengaduan wali pengawas atau pengampu pengawas, atau majelis yang menjadi wali pengawas atau pengampu pengawas; juga mungkin atas pengadua n istrinya atau seorang keluarga sedarah dalam garis lurus, atau jika itu tidak ada, atas pengaduan seorang keluarga sedarah dalam garis menyimpang sampai derajat ketiga.",tidak-diketahui
,BAB VI,Pasal 73,"Jika yang terkena kejahatan meninggal di dalam tenggang waktu yang ditentukan dalam pasal berikut maka tanpa memperpanjang tenggang itu, penuntutan dilakukan atas pengaduan or ang tuanya, anaknya, atau suaminya (istrinya) yang masih hidup kecuali kala u ternyata bahwa yang meninggal tidak menghendaki penuntutan.",pelanggaran perlindungan anak
,BAB VI,Pasal 74,"(1)  Pengaduan hanya boleh diajukan dalam waktu enam bulan sejak orang yang berhak mengadu mengetahui adanya kejahatan, jika bertempat tinggal di Indonesia, atau dalam wa ktu sembilan bulan jika bertempat tinggal di luar Indonesia. (2)  Jika yang terkena kejahatan berhak mengadu pada saat tenggang waktu tersebut dalam ayat 1 belum habis, maka setelah saat itu, pengaduan masih boleh diajukan hanya selama sisa yang masih kurang pada tenggang waktu tersebut.",tidak-diketahui
,BAB VIII,Pasal 75,"Orang yang mengajukan pengaduan, berh ak menarik kembali dalam waktu tiga bulan setelah pengaduan diajukan.  HAPUSNYA KEWENANGAN MENUNTUT PI DANA DAN MENJALANKAN PIDANA",tidak-diketahui
,BAB VIII,Pasal 76,"Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  (1) Kecuali dalam hal putusan hakim masi h mungkin diulangi, orang tidak boleh dituntut dua kali karena perbuatan yang oleh hakim Indonesia terhadap dirinya telah diadili dengan putusan yang menjadi tetap. Dalam artian hakim Indonesia, termasuk juga hakim pengadilan swapraja dan adat, di tempat-tempat yang mempunyai pengadilan-pengadilan tersebut. (2) Jika putusan yang menjadi tetap itu berasal dari hakim lain, maka terhadap orang itu dan karena tindak pidana itu pula, tidak boleh diadakan penuntutan dalam hal: 1. putusan berupa pembebasan dari tuduhan atau lepas dari tuntutan hukum; 2. putusan berupa pemidanaan dan telah dijalani seluruhnya atau telah diberi ampun atau wewenang untuk menjalankannya telah hapus karena daluwarsa.",tidak-diketahui
,BAB VIII,Pasal 77,"Kewenangan menuntut pidana hapus, jika tertuduh meninggal dunia.",tidak-diketahui
,BAB VIII,Pasal 78,"(1) Kewenangan menuntut pidana hapus karena daluwarsa: 1.  mengenai semua pelanggaran dan kejahatan yang dilakukan dengan percetakan sesudah satu tahun; 2.  mengenai kejahatan yang diancam dengan pidana denda, pidana kurungan, atau pidana penjara paling lama tiga tahun, sesudah enam tahun; 3.  mengenai kejahatan yang diancam deng an pidana penjara lebih dari tiga tahun, sesudah dua belas tahun; 4.  mengenai kejahatan yang diancam dengan pidana mati atau pidana penjara seumur hidup, sesudah delapan belas tahun. (2) Bagi orang yang pada saat melakukan perbuatan umurnya belum delapan belas tahun, masing-masing tenggang daluwarsa di atas dikurangi menjadi sepertiga.",tidak-diketahui
,BAB VIII,Pasal 79,"Tenggang daluwarsa mulai berlaku pada hari sesudah perbuatan dilakukan, kecuali dalam hal-hal berikut: 1.  mengenai pemalsuan atau perusakan mata uang, tenggang mulai berlaku pada hari sesudah barang yang dipa lsu atau mata uang yang dirusak digunakan: 2.  mengenai kejahatan dalam pasal-pa sal 328, 329, 330, dan 333, tenggang dimulai pada hari sesudah orang yang langsung terkena oleh kejahatan dibebaskan atau meninggal dunia; 3.  mengenai pelanggaran dalam pasal 556 sampai dengan pasal 558a, tenggang dimulai pada hari sesudah daftar-daftar yang memuat pelanggaran-pelanggaran itu, menurut aturan-aturan umum yang Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  menentukan bahwa register-register catatan sipil harus dipindah ke kantor panitera suatu pengadilan , dipindah ke kantor tersebut.",pemalsuan
